interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Conservative,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,CT,CT02,26,Agree,Agree,18-29 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Female,Northeast,Not Hispanic,White,"$25,000 to $34,999",High school graduate,PA,PA09,58,Disagree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,NJ,NJ03,72,Agree,Not Asked,65 years and older,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,DC,DC00,36,Agree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,PA,PA01,70,Agree,Not Asked,65 years and older,0,1,White
Only now and then,Registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,GA,GA08,25,Not sure,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,NY,NY09,40,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,FL,FL15,42,Agree,Agree,30-44 year olds,1,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,Another country,Male,South,Not Hispanic,"Black, or African American","Less than $14,999",Didn't graduate from high school,FL,,26,Agree,Not Asked,18-29 year olds,0,1,Black
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,Another country,Male,Northeast,Not Hispanic,Asian (Chinese),"Less than $14,999",Some college or associate degree,NY,NY10,45,Agree,Not Sure,45-64 year olds,0,1,Asian
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,GA,GA01,57,Not sure,Disagree,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Female,Midwest,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,IL,IL01,55,Agree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,West,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,NM,NM02,70,Agree,Agree,65 years and older,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Permanently disabled,The United States,Female,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,TN,TN09,55,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Homemaker,Another country,Female,West,Not Hispanic,Asian (Chinese),"$25,000 to $34,999",Bachelor's degree or higher,CA,CA32,46,Disagree,Not Asked,45-64 year olds,0,1,Asian
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,Female,South,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,NC,NC04,32,Disagree,Not Asked,30-44 year olds,1,0,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,NA,Some college or associate degree,VA,,66,Agree,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Don't recall,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,MN,MN02,35,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Moderate,Self-employed,The United States,Male,Midwest,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,WI,WI02,71,Disagree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,Unemployed or temporarily on layoff,The United States,Male,West,Not Hispanic,White,"Less than $14,999",Some college or associate degree,AZ,AZ07,34,Agree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,PA,PA06,37,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,OK,OK05,27,Agree,Not Asked,18-29 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,IL,IL06,61,Disagree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,FL,FL14,47,Agree,Not Asked,45-64 year olds,1,0,White
Only now and then,Not registered,Hillary Clinton,"No, I am not eligible to vote",Joe Biden,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","$100,000 to $149,999",NA,DC,DC00,69,Agree,Agree,65 years and older,0,1,Black
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,South,Not Hispanic,White,"$55,000 to $74,999",NA,TX,TX14,45,Disagree,Not Asked,45-64 year olds,1,0,White
Hardly at all,Registered,Gary Johnson,Not sure,Donald Trump,Not Sure,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,IN,IN09,26,Agree,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$15,000 to $24,999",Bachelor's degree or higher,OH,OH03,53,Agree,Not Asked,45-64 year olds,1,0,White
Only now and then,Registered,Was not eligible to vote,"No, I will not vote but I am eligible",I would not vote,Moderate,Self-employed,The United States,Male,Midwest,Not Hispanic,"Black, or African American","$45,000 to $54,999",High school graduate,OH,OH09,20,Disagree,Not Asked,18-29 year olds,0,0,Black
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,West,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,AZ,AZ05,65,Agree,Agree,65 years and older,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,NJ,NJ05,50,Agree,Agree,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Male,West,Not Hispanic,White,NA,Some college or associate degree,CO,CO01,67,Agree,Not Asked,65 years and older,0,1,White
Most of the time,Registered,Donald Trump,Not sure,I am not sure/don't know,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,MA,MA01,68,Agree,Not Asked,65 years and older,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,Male,Northeast,Not Hispanic,Asian (Korean),NA,Bachelor's degree or higher,PA,PA18,55,Agree,Not Asked,45-64 year olds,0,1,Asian
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,NA,Some college or associate degree,OH,OH07,48,Agree,Not Asked,45-64 year olds,0,1,White
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,Student,The United States,Female,South,Other Hispanic,White,"$45,000 to $54,999",High school graduate,NC,NC07,18,Not sure,Not Asked,18-29 year olds,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Retired,The United States,Male,West,Not Hispanic,Asian (Japanese),"$25,000 to $34,999",Some college or associate degree,HI,HI02,68,Agree,Not Asked,65 years and older,0,1,Asian
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,NA,Part-time employed,The United States,Male,Northeast,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,CT,CT02,57,Agree,Agree,45-64 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,FL,FL10,32,Disagree,Not Asked,30-44 year olds,0,1,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,Asian (Chinese),NA,Bachelor's degree or higher,IL,IL10,60,Agree,Not Asked,45-64 year olds,0,1,Asian
Some of the time,Don't know,"Did not vote, but was eligible",Not sure,Joe Biden,Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,WI,WI08,65,Agree,Not Asked,65 years and older,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Unemployed or temporarily on layoff,The United States,Female,Northeast,Not Hispanic,"Black, or African American","$55,000 to $74,999",Some college or associate degree,NJ,NJ02,67,Agree,Not Asked,65 years and older,0,1,Black
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Permanently disabled,The United States,Female,South,Not Hispanic,White,"Less than $14,999",Some college or associate degree,TX,TX01,52,Not sure,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,South,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,TX,TX16,73,Agree,Agree,65 years and older,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Someone else,Conservative,Self-employed,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,IN,IN04,79,Not sure,Disagree,65 years and older,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Male,West,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,MT,MT00,81,Disagree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,PA,PA18,66,Disagree,Not Asked,65 years and older,0,1,White
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,Permanently disabled,The United States,Female,South,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,TX,TX36,55,Agree,Agree,45-64 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,NA,Joe Biden,Liberal,Full-time employed,The United States,Female,West,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,CA,CA20,38,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Don't recall,"Yes, I will vote",I am not sure/don't know,Conservative,Unemployed or temporarily on layoff,The United States,Male,West,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,CA,CA32,69,Not sure,Not Asked,65 years and older,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Female,South,Not Hispanic,White,NA,Some college or associate degree,TX,TX11,62,Disagree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Male,West,Not Hispanic,Asian (Chinese),NA,Bachelor's degree or higher,CA,CA27,81,Agree,Not Asked,65 years and older,1,0,Asian
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,South,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,TN,TN03,65,Disagree,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,NC,NC01,62,Agree,Not Asked,45-64 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$15,000 to $24,999",High school graduate,PA,PA12,21,Not sure,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Northeast,Other Hispanic,Some other race,"$75,000 to $99,999",Some college or associate degree,CT,CT05,44,Agree,Not Asked,30-44 year olds,0,1,Other
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,Homemaker,The United States,Female,South,Not Hispanic,"Black, or African American","$100,000 to $149,999",NA,TN,TN02,33,Disagree,Not Asked,30-44 year olds,1,0,Black
Only now and then,Not registered,Was not eligible to vote,Not sure,Joe Biden,Liberal,Permanently disabled,The United States,Female,South,Not Hispanic,White,"$15,000 to $24,999",High school graduate,TX,TX31,63,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Female,Northeast,Not Hispanic,White,NA,Some college or associate degree,NJ,NJ04,52,Agree,Not Asked,45-64 year olds,1,0,White
Only now and then,Registered,Donald Trump,Not sure,I am not sure/don't know,Moderate,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$45,000 to $54,999",High school graduate,PA,PA17,27,Agree,Not Asked,18-29 year olds,0,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Conservative,Retired,The United States,Female,Northeast,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,NJ,NJ07,66,Not sure,Disagree,65 years and older,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,TN,TN03,58,Not sure,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,IL,IL03,60,Agree,Not Asked,45-64 year olds,0,1,White
